,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
0,164,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,1955,1955,98178,47.5112,-122.257,1340,5650
1,221,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,1951,1991,98125,47.721,-122.319,1690,7639
2,299,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,1933,1933,98028,47.7379,-122.233,2720,8062
3,221,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,1965,1965,98136,47.5208,-122.393,1360,5000
4,292,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,1987,1987,98074,47.6168,-122.045,1800,7503
5,10,1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,2001,2001,98053,47.6561,-122.005,4760,101930
6,56,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,1995,1995,98003,47.3097,-122.327,2238,6819
7,258,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,1963,1963,98198,47.4095,-122.315,1650,9711
8,348,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,1960,1960,98146,47.5123,-122.337,1780,8113
9,314,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,2003,2003,98038,47.3684,-122.031,2390,7570
10,336,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1965,1965,98007,47.6007,-122.145,2210,8925
11,25,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,1942,1942,98115,47.69,-122.292,1330,6000
12,26,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,1927,1927,98028,47.7558,-122.229,1780,12697
13,158,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,1977,1977,98074,47.6127,-122.045,1370,10208
14,314,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,1900,1900,98107,47.67,-122.394,1360,4850
15,267,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,1979,1979,98126,47.5714,-122.375,2140,4000
16,90,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,1994,1994,98019,47.7277,-121.962,1890,14018
17,27,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,1916,1916,98103,47.6648,-122.343,1610,4300
18,217,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,1921,1921,98002,47.3089,-122.21,1060,5095
19,357,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,1969,1969,98003,47.3343,-122.306,1280,8850
20,12,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,1947,1947,98133,47.7025,-122.341,1400,4980
21,116,2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,2330,1968,1968,98040,47.5316,-122.233,4110,20336
22,62,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,1995,1995,98092,47.3266,-122.169,2240,7005
23,14,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,1985,1985,98030,47.3533,-122.166,1220,8386
24,202,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,1985,1985,98030,47.3739,-122.172,2200,6865
25,185,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,1941,1941,98002,47.3048,-122.218,1030,4705
26,55,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,1915,1915,98119,47.6386,-122.36,1760,3573
27,213,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,1909,1909,98112,47.6221,-122.314,1860,3861
28,53,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,1948,1948,98115,47.695,-122.304,1520,6235
29,304,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,2005,2005,98052,47.7073,-122.11,2630,6026
30,192,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,2003,2003,98027,47.5391,-122.07,2580,3980
31,213,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,2005,2005,98133,47.7274,-122.357,1390,1756
32,53,687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,1929,1929,98117,47.6823,-122.368,1460,5000
33,192,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,1929,1929,98117,47.6889,-122.375,1570,5080
34,215,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,1981,1981,98058,47.4276,-122.157,2020,8720
35,42,696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,1930,2002,98115,47.6827,-122.31,1590,3264
36,26,550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,1933,1933,98052,47.6621,-122.132,2160,11467
37,242,640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360,1904,1904,98107,47.6702,-122.362,1730,4700
38,287,240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,1969,1969,98001,47.3341,-122.282,1290,7800
39,49,605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620,1996,1996,98056,47.5301,-122.18,2620,11884
40,74,625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570,2000,2000,98074,47.6145,-122.027,2470,5669
41,101,775000.0,4,2.25,4220,24186,1.0,0,0,3,8,2600,1984,1984,98166,47.445,-122.347,2410,30617
42,66,861990.0,5,2.75,3595,5639,2.0,0,0,3,9,3595,2014,2014,98053,47.6848,-122.016,3625,5639
43,179,685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570,1922,1922,98119,47.6413,-122.364,1580,2640
44,88,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,1959,1959,98058,47.4485,-122.175,1340,8808
45,77,488000.0,3,2.5,3160,13603,2.0,0,0,3,8,3160,2003,2003,98019,47.7443,-121.977,3050,9232
46,327,210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,1966,1966,98023,47.3066,-122.371,1228,8840
47,75,785000.0,4,2.5,2290,13416,2.0,0,0,4,9,2290,1981,1981,98007,47.6194,-122.151,2680,13685
48,361,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,1953,1953,98115,47.6796,-122.301,970,5100
49,313,1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,2165,1953,1953,98070,47.4041,-122.451,2680,72513
